Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,State,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Profit
US-2024-000001,2022-11-23,2022-11-29,Standard Class,CG-15695,Consumer,East,Massachusetts,Furniture,Bookcases,1,195.03,0.0,195.03,21.9
US-2024-000002,2024-07-29,2024-07-30,Same Day,CG-47930,Corporate,West,Arizona,Office Supplies,Labels,1,4.48,0.0,4.48,0.6
US-2024-000003,2022-06-13,2022-06-16,First Class,CG-99593,Corporate,Central,Ohio,Technology,Machines,3,1295.51,0.2,3109.22,746.11
US-2024-000004,2022-05-27,2022-05-29,Standard Class,CG-17331,Consumer,East,Florida,Office Supplies,Fasteners,2,8.85,0.15,15.05,2.49
US-2024-000005,2023-04-15,2023-04-15,First Class,CG-28726,Corporate,Central,Texas,Furniture,Furnishings,5,50.47,0.15,214.51,29.43
US-2024-000006,2023-06-27,2023-06-29,Standard Class,CG-21915,Home Office,Central,Wisconsin,Technology,Phones,1,292.79,0.8,58.56,-23.54
US-2024-000007,2022-04-07,2022-04-08,Standard Class,CG-82512,Consumer,South,Louisiana,Furniture,Tables,2,277.44,0.8,110.98,-45.04
US-2024-000008,2022-01-24,2022-01-25,Second Class,CG-44522,Home Office,Central,Minnesota,Technology,Machines,2,1426.55,0.5,1426.55,-677.85
US-2024-000009,2024-10-22,2024-10-24,Standard Class,CG-79514,Consumer,Central,Minnesota,Technology,Copiers,1,972.22,0.2,777.78,90.08
US-2024-000010,2022-01-02,2022-01-07,Standard Class,CG-21226,Consumer,Central,Minnesota,Office Supplies,Envelopes,1,6.72,0.3,4.71,-0.01
US-2024-000011,2024-09-22,2024-09-23,Same Day,CG-37760,Home Office,East,Pennsylvania,Technology,Phones,2,271.08,0.15,460.84,87.63
US-2024-000012,2023-02-16,2023-02-20,Standard Class,CG-40161,Home Office,Central,Ohio,Technology,Phones,1,266.53,0.1,239.88,53.87
US-2024-000013,2023-03-28,2023-03-28,Standard Class,CG-38080,Home Office,West,Washington,Furniture,Bookcases,1,269.5,0.15,229.07,14.94
US-2024-000014,2022-09-28,2022-10-05,Standard Class,CG-94696,Corporate,South,North Carolina,Furniture,Bookcases,-3,209.5,0.3,-439.96,-35.2
US-2024-000015,2022-07-21,2022-07-21,Standard Class,CG-19880,Corporate,West,Washington,Furniture,Chairs,2,132.81,0.0,265.62,27.26
US-2024-000016,2024-06-26,2024-06-27,Standard Class,CG-31579,Home Office,West,California,Furniture,Chairs,2,241.12,0.1,434.01,65.6
US-2024-000017,2024-02-16,2024-02-16,Same Day,CG-17665,Corporate,South,Tennessee,Office Supplies,Supplies,3,8.79,0.1,23.72,4.34
US-2024-000018,2022-05-05,2022-05-10,Standard Class,CG-18907,Home Office,South,Louisiana,Technology,Copiers,1,962.84,0.1,866.56,183.02
US-2024-000019,2023-04-27,2023-05-03,Standard Class,CG-44179,Home Office,East,Virginia,Technology,Accessories,3,52.43,0.0,157.28,23.18
US-2024-000020,2023-02-23,2023-02-28,Standard Class,CG-11220,Corporate,East,New Jersey,Technology,Machines,2,855.83,0.4,1026.99,-3.3
US-2024-000021,2024-07-27,2024-07-28,Standard Class,CG-90173,Consumer,Central,Illinois,Office Supplies,Art,1,20.58,0.3,14.4,-0.21
US-2024-000022,2024-12-19,2024-12-19,Second Class,CG-30374,Home Office,Central,Wisconsin,Furniture,Chairs,1,140.36,0.4,84.21,-1.08
US-2024-000023,2023-07-12,2023-07-16,Second Class,CG-93136,Home Office,Central,Illinois,Technology,Machines,5,795.98,0.0,3979.88,790.83
